GPU_NAME,NVIDIA GeForce GTX 1050
GPU_CC,6.1
GPU_SM_COUNT,5
GPU_MAX_THREADS_PER_BLOCK,1024
GPU_WARP_SIZE,32
GPU_GLOBAL_MEM_GB,1.99988
GPU_SHARED_MEM_PER_BLOCK_KB,48
GPU_REGS_PER_BLOCK,65536
experiment,operation,datatype,N,threads_per_block,j,k,cpu_us,gpu_us,speedup,memory_GBs,compute_GOPS,compute_intensity_OPS_per_byte,correct
vsN,add,float,1024,256,1,1,1.2,12.544,0.0956633,0.979592,0.0816326,0.0833333,1
vsN,add,float,4096,256,1,1,7.46,13.3498,0.558812,3.68186,0.306822,0.0833333,1
vsN,add,float,16384,256,1,1,37.84,14.0083,2.70125,14.0351,1.16959,0.0833333,1
vsN,add,float,65536,256,1,1,132.18,12.6451,10.453,62.1925,5.18271,0.0833333,1
vsN,add,float,262144,256,1,1,427.7,38.4717,11.1173,81.7674,6.81395,0.0833333,1
vsN,add,float,1048576,256,1,1,1807.08,134.636,13.422,93.4591,7.78826,0.0833333,1
vsN,add,float,4194304,256,1,1,9343.46,531.794,17.5697,94.645,7.88708,0.0833333,1
vsN,add,float,8388608,256,1,1,12842.2,1059.67,12.119,94.9946,7.91622,0.0833333,1
vsN,mul,float,1024,256,1,1,1.98,10.4986,0.188597,1.17045,0.0975372,0.0833333,1
vsN,mul,float,4096,256,1,1,8,12.3936,0.645494,3.96592,0.330493,0.0833333,1
vsN,mul,float,16384,256,1,1,16.22,17.1536,0.945574,11.4616,0.955135,0.0833333,1
vsN,mul,float,65536,256,1,1,85.78,19.6278,4.37032,40.0672,3.33893,0.0833333,1
vsN,mul,float,262144,256,1,1,279.3,35.5226,7.86261,88.5558,7.37965,0.0833333,1
vsN,mul,float,1048576,256,1,1,1187.24,134.735,8.81166,93.39,7.7825,0.0833333,1
vsN,mul,float,4194304,256,1,1,4837.54,526.027,9.19637,95.6826,7.97355,0.0833333,1
vsN,mul,float,8388608,256,1,1,9671.76,1046.09,9.24565,96.2284,8.01903,0.0833333,1
vsJ,add,float,4194304,256,1,1,5178.52,525.906,9.84686,95.7047,7.97539,0.0833333,1
vsJ,add,float,4194304,256,2,1,5252.44,537.927,9.76423,93.566,7.79717,0.0833333,1
vsJ,add,float,4194304,256,4,1,4877.7,674.436,7.23227,74.6278,6.21898,0.0833333,1
vsJ,add,float,4194304,256,8,1,5018.18,2337.43,2.14688,21.5329,1.79441,0.0833333,1
vsJ,add,float,4194304,256,16,1,4861.2,4578.21,1.06181,10.9937,0.916145,0.0833333,1
vsJ,mul,float,4194304,256,1,1,5043.04,524.861,9.60834,95.8952,7.99127,0.0833333,1
vsJ,mul,float,4194304,256,2,1,4840.94,535.593,9.03847,93.9737,7.83114,0.0833333,1
vsJ,mul,float,4194304,256,4,1,4769.16,673.393,7.08229,74.7434,6.22862,0.0833333,1
vsJ,mul,float,4194304,256,8,1,4761.96,2358.31,2.01922,21.3422,1.77852,0.0833333,1
vsJ,mul,float,4194304,256,16,1,4765.98,4576.71,1.04136,10.9974,0.916446,0.0833333,1
roofline,add,float,4194304,256,1,1,4774.04,527.307,9.05363,95.4504,7.9542,0.0833333,1
roofline,add,float,4194304,256,1,2,4999.16,527.176,9.48291,95.4741,15.9124,0.166667,1
roofline,add,float,4194304,256,1,4,13242.8,526.505,25.1523,95.5958,31.8653,0.333333,1
roofline,add,float,4194304,256,1,8,6954.5,529.121,13.1435,95.1231,63.4154,0.666667,1
roofline,add,float,4194304,256,1,16,14300,536.228,26.6678,93.8624,125.15,1.33333,1
roofline,add,float,4194304,256,1,32,39291.2,550.582,71.3631,91.4153,243.774,2.66667,1
roofline,add,float,4194304,256,1,64,117769,836.225,140.835,60.1891,321.009,5.33333,1
roofline,mul,float,4194304,256,1,1,4830.96,523.786,9.22315,96.092,8.00766,0.0833333,1
roofline,mul,float,4194304,256,1,2,8566.52,523.807,16.3544,96.0882,16.0147,0.166667,1
roofline,mul,float,4194304,256,1,4,15826.1,526.469,30.0608,95.6023,31.8674,0.333333,1
roofline,mul,float,4194304,256,1,8,7332.2,528.927,13.8624,95.1581,63.4387,0.666667,1
roofline,mul,float,4194304,256,1,16,14443.3,536.53,26.9199,93.8095,125.079,1.33333,1
roofline,mul,float,4194304,256,1,32,39622.2,572.658,69.1901,87.8913,234.377,2.66667,1
roofline,mul,float,4194304,256,1,64,117811,717.732,164.143,70.126,374.005,5.33333,1
